,Sitename,ID,Year,Month,Lat,Long,Subwatershed,Watershed,Sample_Type,clusters,cluster_name,cdem_altitude,cdsm_altitude
378,STREAM_FOKLSS_B_XSMA_0001_C_20220913_COI,X2022_49.5098_117.456,2022,9,49.5098,-117.456,,,Smallwood Creek,4,West,1015.0,1020.861
379,STREAM_FOKLSS_B_XFLE_0001_A_20220920_COI,X2022_49.83701_116.902,2022,9,49.83701,-116.902,,,Fletcher Creek,4,West,596.0,594.094
380,STREAM_FOKLSS_B_XFLE_0001_B_20220920_COI,X2022_49.83701_116.902,2022,9,49.83701,-116.902,,,Fletcher Creek,4,West,596.0,594.094
381,STREAM_FOKLSS_B_XFLE_0001_C_20220920_COI,X2022_49.83701_116.902,2022,9,49.83701,-116.902,,,Fletcher Creek,4,West,596.0,594.094
382,STREAM_FOKLSS_B_XCED_0001_A_20220920_COI,X2022_49.75443_116.912,2022,9,49.75443,-116.912,,,Cedar Creek,4,West,649.0,660.728
383,STREAM_FOKLSS_B_XCED_0001_B_20220920_COI,X2022_49.75443_116.912,2022,9,49.75443,-116.912,,,Cedar Creek,4,West,649.0,660.728
384,STREAM_FOKLSS_B_XCED_0001_C_20220920_COI,X2022_49.75443_116.912,2022,9,49.75443,-116.912,,,Cedar Creek,4,West,649.0,660.728
385,STREAM_FOKLSS_B_XSIT_0001_A_20220921_COI,X2022_49.60228_117.18,2022,9,49.60228,-117.18,,,Sitkum Creek,4,West,636.0,660.829
386,STREAM_FOKLSS_B_XSIT_0001_B_20220921_COI,X2022_49.60228_117.18,2022,9,49.60228,-117.18,,,Sitkum Creek,4,West,636.0,660.829
387,STREAM_FOKLSS_B_XSIT_0001_C_20220921_COI,X2022_49.60228_117.18,2022,9,49.60228,-117.18,,,Sitkum Creek,4,West,636.0,660.829
388,STREAM_FOKLSS_B_XCOF_0001_A_20220921_COI,X2022_49.69626_116.92,2022,9,49.69626,-116.92,,,Coffee Creek,4,West,604.0,623.714
389,STREAM_FOKLSS_B_XCOF_0001_B_20220921_COI,X2022_49.69626_116.92,2022,9,49.69626,-116.92,,,Coffee Creek,4,West,604.0,623.714
390,STREAM_FOKLSS_B_XCOF_0001_C_20220921_COI,X2022_49.69626_116.92,2022,9,49.69626,-116.92,,,Coffee Creek,4,West,604.0,623.714
391,STREAM_LLCXXX_B_XLEM_0003_A_20221014_COI,X2022_49.705441_117.49149,2022,10,49.705441,-117.49149,,,Lemon Creek,4,West,542.0,549.601
392,STREAM_LLCXXX_B_XLEM_0003_B_20221014_COI,X2022_49.705441_117.49149,2022,10,49.705441,-117.49149,,,Lemon Creek,4,West,542.0,549.601
393,STREAM_LLCXXX_B_XLEM_0003_C_20221014_COI,X2022_49.705441_117.49149,2022,10,49.705441,-117.49149,,,Lemon Creek,4,West,542.0,549.601
394,STREAM_LLCXXX_B_XKIN_0001_A_20221014_COI,X2022_50.7616_116.13246,2022,10,50.7616,-116.13246,,,Kindersley Creek,1,Central,1067.0,1108.033
395,STREAM_LLCXXX_B_XKIN_0001_B_20221014_COI,X2022_50.7616_116.13246,2022,10,50.7616,-116.13246,,,Kindersley Creek,1,Central,1067.0,1108.033
396,STREAM_LLCXXX_B_XKIN_0001_C_20221014_COI,X2022_50.7616_116.13246,2022,10,50.7616,-116.13246,,,Kindersley Creek,1,Central,1067.0,1108.033
397,STREAM_LLCXXX_B_XBUG_0001_A_20221013_COI,X2022_50.75803_116.70162,2022,10,50.75803,-116.70162,,,Bugaboo Creek,1,Central,1485.0,1482.94
398,STREAM_LLCXXX_B_XBUG_0001_B_20221013_COI,X2022_50.75803_116.70162,2022,10,50.75803,-116.70162,,,Bugaboo Creek,1,Central,1485.0,1482.94
399,STREAM_LLCXXX_B_XBUG_0001_C_20221013_COI,X2022_50.75803_116.70162,2022,10,50.75803,-116.70162,,,Bugaboo Creek,1,Central,1485.0,1482.94
400,STREAM_OWCXXX_B_XBLY_0001_A_20220919_COI,X2022_49.36417_113.454,2022,9,49.36417,-113.454,,,Belly River,2,Southeast,1056.0,1053.94
401,STREAM_OWCXXX_B_XBLY_0001_B_20220919_COI,X2022_49.36417_113.454,2022,9,49.36417,-113.454,,,Belly River,2,Southeast,1056.0,1053.94
402,STREAM_OWCXXX_B_XBLY_0001_C_20220919_COI,X2022_49.36417_113.454,2022,9,49.36417,-113.454,,,Belly River,2,Southeast,1056.0,1053.94
403,STREAM_OWCXXX_B_XBLY_0002_A_20220919_COI,X2022_49.46781_113.314,2022,9,49.46781,-113.314,,,Belly River,2,Southeast,988.0,987.526
404,STREAM_OWCXXX_B_XBLY_0002_B_20220919_COI,X2022_49.46781_113.314,2022,9,49.46781,-113.314,,,Belly River,2,Southeast,988.0,987.526
405,STREAM_OWCXXX_B_XBLY_0002_C_20220919_COI,X2022_49.46781_113.314,2022,9,49.46781,-113.314,,,Belly River,2,Southeast,988.0,987.526
406,STREAM_OWCXXX_B_XOLD_0001_A_20220921_COI,X2022_49.71604_113.179,2022,9,49.71604,-113.179,,,Oldman River,2,Southeast,902.0,900.422
407,STREAM_OWCXXX_B_XOLD_0001_B_20220921_COI,X2022_49.71604_113.179,2022,9,49.71604,-113.179,,,Oldman River,2,Southeast,902.0,900.422
408,STREAM_OWCXXX_B_XOLD_0001_C_20220921_COI,X2022_49.71604_113.179,2022,9,49.71604,-113.179,,,Oldman River,2,Southeast,902.0,900.422
409,STREAM_OWCXXX_B_XCAR_0002_A_20221011_COI,X2022_49.45573_114.405,2022,10,49.45573,-114.405,,,Carbondale River,2,Southeast,1357.0,1349.815
410,STREAM_OWCXXX_B_XCAR_0002_B_20221011_COI,X2022_49.45573_114.405,2022,10,49.45573,-114.405,,,Carbondale River,2,Southeast,1357.0,1349.815
411,STREAM_OWCXXX_B_XCAR_0002_C_20221011_COI,X2022_49.45573_114.405,2022,10,49.45573,-114.405,,,Carbondale River,2,Southeast,1357.0,1349.815
412,STREAM_OWCXXX_B_XNRA_0001_A_20221013_COI,X2022_49.83677_114.565,2022,10,49.83677,-114.565,,,North Racehorse Creek,2,Southeast,1654.0,1640.683
413,STREAM_OWCXXX_B_XNRA_0001_B_20221013_COI,X2022_49.83677_114.565,2022,10,49.83677,-114.565,,,North Racehorse Creek,2,Southeast,1654.0,1640.683
414,STREAM_OWCXXX_B_XNRA_0001_C_20221013_COI,X2022_49.83677_114.565,2022,10,49.83677,-114.565,,,North Racehorse Creek,2,Southeast,1654.0,1640.683
112,STREAM_GWASXX_B_XWAP_0007_A_20200910_COI,X2020_51.324167_114.929722,2020,9,51.324167,-114.929722,Bow,South Saskatchewan,WETLAND,5,Wetland,1357.0,1352.497
113,STREAM_GWASXX_B_XWAP_0007_B_20200910_COI,X2020_51.324167_114.929722,2020,9,51.324167,-114.929722,Bow,South Saskatchewan,WETLAND,5,Wetland,1357.0,1352.497
114,STREAM_GWASXX_B_XWAP_0007_C_20200910_COI,X2020_51.324167_114.929722,2020,9,51.324167,-114.929722,Bow,South Saskatchewan,WETLAND,5,Wetland,1357.0,1352.497
115,STREAM_GWASXX_B_XWAP_0008_A_20200917_COI,X2020_51.283056_114.837778,2020,9,51.283056,-114.837778,Bow,South Saskatchewan,WETLAND,5,Wetland,1271.0,1264.38
116,STREAM_GWASXX_B_XWAP_0008_B_20200917_COI,X2020_51.283056_114.837778,2020,9,51.283056,-114.837778,Bow,South Saskatchewan,WETLAND,5,Wetland,1271.0,1264.38
